study_id,Study Class,Treatment Focus (Study level),Total N Randomized,Intervention Group,Treatment Focus (Arm level),Treatment Focus Subclass (Arm level),N Completed Outcome Measurement,N Completed Outcome Measurement Detail,Publication Treatment Name,NCPTSD Treatment Name,Psychotherapy,Psychotherapy Subclass,Pharmacotherapy,Pharmacotherapy Subclass,CIH,CIH Subclass,Nonpharm Biologic,Nonpharm Cognitive Therapy,Control,Other,Collaborative Care,Format,Delivery Method,Arm N Randomized,Outcome Assessment Type,PTSD Outcome Measure,PTSD Outcome Measure Detail,Analysis Type,Method for Handling Missing Data,Statistical Analysis Method,Assessment Point Category,Follow-up Assessment in Weeks,Measure Score Detail,Measure Score Mean,Measure Score Standard Deviation,Measure Score Type of Variance Measure,Measure Score Variance Value or Lower Bound,Measure Score Variance Upper Bound,Score Difference from Baseline Detail,Score Difference from Baseline,Score Difference from Baseline Standard Deviation,Score Difference from Baseline 95% CI Lower Bound,Score Difference from Baseline 95% CI Upper Bound,Effect Size 1 Detail,Effect Size 1 Type,Effect Size 1 Value,Effect Size 1 Type of Variance Measure,Effect Size 1 Variance Value or Lower Bound,Effect Size 1 Variance Upper Bound,Effect Size 1 p value,Effect Size 2 Detail,Effect Size 2 Type,Effect Size 2 Value,Effect Size 2 Type of Variance Measure,Effect Size 2 Variance Value or Lower Bound,Effect Size 2 Variance Upper Bound,Effect Size 2 p value,Diagnostic Change Definition 1,Percent Achieved Diagnostic Change Definition 1,Additional Defs of Diagnostic Change,Clinically Meaningful Response Definition 1,Percent Achieved Clinically Meaningful Response Definition 1,Additional Defs of Clinically Meaningful Response,Military Status (Study level),Active Duty Military Percent (Study level),Veteran Percent (Study level),Community Percent (Study level),Female Percent (Study level),Female Percent Detail  (Study level),Male Percent (Study level),Trauma Type (Study level),Trauma Detail (Study level),Risk of Bias Rating (Study level),Citation,PTSDPubs ID,Year Added to PTSD-Repository
davis2020_CAPS_A_0_Comp,Pharmacotherapy,PTSD,212,A,PTSD,,70,,Holistic yoga program,Yoga,No,Not Applicable,No,Not Applicable,Yes,Yoga,No,No,No,No,No,Mixed,In person,108,Structured Clinical Interview,CAPS,CAPS-5,Completer,,Constrained longitudinal data analysis model incorporating the baseline outcome as a dependent variable and assuming a common baseline mean across groups,End of Treatment,0,,25.8,12.1,,,,,-11.3,,,,,,,,,,,,,,,,,,PTSD diagnosis based on CAPS,0.4,,,,,Mixed,,,0.086,0.34,,0.66,Mixed,"MST; Combat-related; Rape/sexual assault; Other (childhood, not specified; other adult, not specified)",Medium,"Davis LW, Schmid AA, Daggy JK, et al. Symptoms improve after a yoga program designed for PTSD in a randomized controlled trial with veterans and civilians. Psychol Trauma. 2020 Apr 20 doi: https://dx.doi.org/10.1037/tra0000564. PMID: 32309986.",,2020
davis2020_CAPS_A_30.3_Comp,Pharmacotherapy,PTSD,212,A,PTSD,,67,,Holistic yoga program,Yoga,No,Not Applicable,No,Not Applicable,Yes,Yoga,No,No,No,No,No,Mixed,In person,108,Structured Clinical Interview,CAPS,CAPS-5,Completer,,Constrained longitudinal data analysis model incorporating the baseline outcome as a dependent variable and assuming a common baseline mean across groups,Assessment at 6 to <12 Months,30.3,,27.5,13.2,,,,,-9.6,,,,,,,,,,,,,,,,,,PTSD diagnosis based on CAPS,0.403,,,,,Mixed,,,0.086,0.34,,0.66,Mixed,"MST; Combat-related; Rape/sexual assault; Other (childhood, not specified; other adult, not specified)",Medium,"Davis LW, Schmid AA, Daggy JK, et al. Symptoms improve after a yoga program designed for PTSD in a randomized controlled trial with veterans and civilians. Psychol Trauma. 2020 Apr 20 doi: https://dx.doi.org/10.1037/tra0000564. PMID: 32309986.",,2020
davis2020_CAPS_A_Baseline_Comp,Pharmacotherapy,PTSD,212,A,PTSD,,108,,Holistic yoga program,Yoga,No,Not Applicable,No,Not Applicable,Yes,Yoga,No,No,No,No,No,Mixed,In person,108,Structured Clinical Interview,CAPS,CAPS-5,Completer,,Constrained longitudinal data analysis model incorporating the baseline outcome as a dependent variable and assuming a common baseline mean across groups,Baseline,,,37.1,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,,,0.086,0.34,,0.66,Mixed,"MST; Combat-related; Rape/sexual assault; Other (childhood, not specified; other adult, not specified)",Medium,"Davis LW, Schmid AA, Daggy JK, et al. Symptoms improve after a yoga program designed for PTSD in a randomized controlled trial with veterans and civilians. Psychol Trauma. 2020 Apr 20 doi: https://dx.doi.org/10.1037/tra0000564. PMID: 32309986.",,2020
davis2020_CAPS_B_0_Comp,Pharmacotherapy,PTSD,212,B,Control,,70,,Wellness lifestyle program,Wellness lifestyle program,No,Not Applicable,No,Not Applicable,No,Not Applicable,No,No,Yes,No,No,Mixed,In person,101,Structured Clinical Interview,CAPS,CAPS-5,Completer,,Constrained longitudinal data analysis model incorporating the baseline outcome as a dependent variable and assuming a common baseline mean across groups,End of Treatment,0,,31.0,13,,,,,-5,,,,,,,,,,,,,,,,,,PTSD diagnosis based on CAPS,0.314,,,,,Mixed,,,0.086,0.34,,0.66,Mixed,"MST; Combat-related; Rape/sexual assault; Other (childhood, not specified; other adult, not specified)",Medium,"Davis LW, Schmid AA, Daggy JK, et al. Symptoms improve after a yoga program designed for PTSD in a randomized controlled trial with veterans and civilians. Psychol Trauma. 2020 Apr 20 doi: https://dx.doi.org/10.1037/tra0000564. PMID: 32309986.",,2020
davis2020_CAPS_B_30.3_Comp,Pharmacotherapy,PTSD,212,B,Control,,65,,Wellness lifestyle program,Wellness lifestyle program,No,Not Applicable,No,Not Applicable,No,Not Applicable,No,No,Yes,No,No,Mixed,In person,101,Structured Clinical Interview,CAPS,CAPS-5,Completer,,Constrained longitudinal data analysis model incorporating the baseline outcome as a dependent variable and assuming a common baseline mean across groups,Assessment at 6 to <12 Months,30.3,,27.9,12.8,,,,,-8.1,,,,,,,,,,,,,,,,,,PTSD diagnosis based on CAPS,0.415,,,,,Mixed,,,0.086,0.34,,0.66,Mixed,"MST; Combat-related; Rape/sexual assault; Other (childhood, not specified; other adult, not specified)",Medium,"Davis LW, Schmid AA, Daggy JK, et al. Symptoms improve after a yoga program designed for PTSD in a randomized controlled trial with veterans and civilians. Psychol Trauma. 2020 Apr 20 doi: https://dx.doi.org/10.1037/tra0000564. PMID: 32309986.",,2020
davis2020_CAPS_B_Baseline_Comp,Pharmacotherapy,PTSD,212,B,Control,,101,,Wellness lifestyle program,Wellness lifestyle program,No,Not Applicable,No,Not Applicable,No,Not Applicable,No,No,Yes,No,No,Mixed,In person,101,Structured Clinical Interview,CAPS,CAPS-5,Completer,,Constrained longitudinal data analysis model incorporating the baseline outcome as a dependent variable and assuming a common baseline mean across groups,Baseline,,,36.0,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,,,0.086,0.34,,0.66,Mixed,"MST; Combat-related; Rape/sexual assault; Other (childhood, not specified; other adult, not specified)",Medium,"Davis LW, Schmid AA, Daggy JK, et al. Symptoms improve after a yoga program designed for PTSD in a randomized controlled trial with veterans and civilians. Psychol Trauma. 2020 Apr 20 doi: https://dx.doi.org/10.1037/tra0000564. PMID: 32309986.",,2020
davis2020_PCL_A_0_Comp,Pharmacotherapy,PTSD,212,A,PTSD,,,,Holistic yoga program,Yoga,No,Not Applicable,No,Not Applicable,Yes,Yoga,No,No,No,No,No,Mixed,In person,108,Self report,PCL,PCL-5,Completer,,Constrained longitudinal data analysis model incorporating the baseline outcome as a dependent variable and assuming a common baseline mean across groups,End of Treatment,0,,33.0,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,,,0.086,0.34,,0.66,Mixed,"MST; Combat-related; Rape/sexual assault; Other (childhood, not specified; other adult, not specified)",Medium,"Davis LW, Schmid AA, Daggy JK, et al. Symptoms improve after a yoga program designed for PTSD in a randomized controlled trial with veterans and civilians. Psychol Trauma. 2020 Apr 20 doi: https://dx.doi.org/10.1037/tra0000564. PMID: 32309986.",,2020
davis2020_PCL_A_30.3_Comp,Pharmacotherapy,PTSD,212,A,PTSD,,,,Holistic yoga program,Yoga,No,Not Applicable,No,Not Applicable,Yes,Yoga,No,No,No,No,No,Mixed,In person,108,Self report,PCL,PCL-5,Completer,,Constrained longitudinal data analysis model incorporating the baseline outcome as a dependent variable and assuming a common baseline mean across groups,Assessment at 6 to <12 Months,30.3,,37.0,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,,,0.086,0.34,,0.66,Mixed,"MST; Combat-related; Rape/sexual assault; Other (childhood, not specified; other adult, not specified)",Medium,"Davis LW, Schmid AA, Daggy JK, et al. Symptoms improve after a yoga program designed for PTSD in a randomized controlled trial with veterans and civilians. Psychol Trauma. 2020 Apr 20 doi: https://dx.doi.org/10.1037/tra0000564. PMID: 32309986.",,2020
davis2020_PCL_A_Baseline_Comp,Pharmacotherapy,PTSD,212,A,PTSD,,,,Holistic yoga program,Yoga,No,Not Applicable,No,Not Applicable,Yes,Yoga,No,No,No,No,No,Mixed,In person,108,Self report,PCL,PCL-5,Completer,,Constrained longitudinal data analysis model incorporating the baseline outcome as a dependent variable and assuming a common baseline mean across groups,Baseline,,,45.2,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,,,0.086,0.34,,0.66,Mixed,"MST; Combat-related; Rape/sexual assault; Other (childhood, not specified; other adult, not specified)",Medium,"Davis LW, Schmid AA, Daggy JK, et al. Symptoms improve after a yoga program designed for PTSD in a randomized controlled trial with veterans and civilians. Psychol Trauma. 2020 Apr 20 doi: https://dx.doi.org/10.1037/tra0000564. PMID: 32309986.",,2020
davis2020_PCL_B_0_Comp,Pharmacotherapy,PTSD,212,B,Control,,,,Wellness lifestyle program,Wellness lifestyle program,No,Not Applicable,No,Not Applicable,No,Not Applicable,No,No,Yes,No,No,Mixed,In person,101,Self report,PCL,PCL-5,Completer,,Constrained longitudinal data analysis model incorporating the baseline outcome as a dependent variable and assuming a common baseline mean across groups,End of Treatment,0,,40.2,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,,,0.086,0.34,,0.66,Mixed,"MST; Combat-related; Rape/sexual assault; Other (childhood, not specified; other adult, not specified)",Medium,"Davis LW, Schmid AA, Daggy JK, et al. Symptoms improve after a yoga program designed for PTSD in a randomized controlled trial with veterans and civilians. Psychol Trauma. 2020 Apr 20 doi: https://dx.doi.org/10.1037/tra0000564. PMID: 32309986.",,2020
davis2020_PCL_B_30.3_Comp,Pharmacotherapy,PTSD,212,B,Control,,,,Wellness lifestyle program,Wellness lifestyle program,No,Not Applicable,No,Not Applicable,No,Not Applicable,No,No,Yes,No,No,Mixed,In person,101,Self report,PCL,PCL-5,Completer,,Constrained longitudinal data analysis model incorporating the baseline outcome as a dependent variable and assuming a common baseline mean across groups,Assessment at 6 to <12 Months,30.3,,37.9,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,,,0.086,0.34,,0.66,Mixed,"MST; Combat-related; Rape/sexual assault; Other (childhood, not specified; other adult, not specified)",Medium,"Davis LW, Schmid AA, Daggy JK, et al. Symptoms improve after a yoga program designed for PTSD in a randomized controlled trial with veterans and civilians. Psychol Trauma. 2020 Apr 20 doi: https://dx.doi.org/10.1037/tra0000564. PMID: 32309986.",,2020
davis2020_PCL_B_Baseline_Comp,Pharmacotherapy,PTSD,212,B,Control,,,,Wellness lifestyle program,Wellness lifestyle program,No,Not Applicable,No,Not Applicable,No,Not Applicable,No,No,Yes,No,No,Mixed,In person,101,Self report,PCL,PCL-5,Completer,,Constrained longitudinal data analysis model incorporating the baseline outcome as a dependent variable and assuming a common baseline mean across groups,Baseline,,,45.1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,,,0.086,0.34,,0.66,Mixed,"MST; Combat-related; Rape/sexual assault; Other (childhood, not specified; other adult, not specified)",Medium,"Davis LW, Schmid AA, Daggy JK, et al. Symptoms improve after a yoga program designed for PTSD in a randomized controlled trial with veterans and civilians. Psychol Trauma. 2020 Apr 20 doi: https://dx.doi.org/10.1037/tra0000564. PMID: 32309986.",,2020
decker2018_PCL_A_0_Comp,Mixed: Psychotherapy & CIH,PTSD,38,A,PTSD,,,,Art therapy + CPT,Art therapy + Cognitive Processing Therapy (CPT),Yes,TF,No,Not Applicable,Yes,Creative therapies,No,No,No,No,No,Individual,In person,19,Self report,PCL,PCL-M,Completer,,ANOVA with repeated measures,End of Treatment,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.0323,,0.9677,Combat-related,,High,"Decker KP, Deaver SP, Abbey V, et al. Quantitatively improved treatment outcomes for combat-associated PTSD with adjunctive art therapy: randomized controlled trial. Art Therapy. 2018;35(4):184-94. doi: 10.1080/07421656.2018.1540822.",,2020
decker2018_PCL_A_Baseline_Comp,Mixed: Psychotherapy & CIH,PTSD,38,A,PTSD,,16,,Art therapy + CPT,Art therapy + Cognitive Processing Therapy (CPT),Yes,TF,No,Not Applicable,Yes,Creative therapies,No,No,No,No,No,Individual,In person,19,Self report,PCL,PCL-M,Completer,,ANOVA with repeated measures,Baseline,,,71.2,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.0323,,0.9677,Combat-related,,High,"Decker KP, Deaver SP, Abbey V, et al. Quantitatively improved treatment outcomes for combat-associated PTSD with adjunctive art therapy: randomized controlled trial. Art Therapy. 2018;35(4):184-94. doi: 10.1080/07421656.2018.1540822.",,2020
decker2018_PCL_B_0_Comp,Mixed: Psychotherapy & CIH,PTSD,38,B,PTSD,,,,Supportive psychotherapy + CPT,Supportive psychotherapy + Cognitive Processing Therapy (CPT),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,19,Self report,PCL,PCL-M,Completer,,ANOVA with repeated measures,End of Treatment,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.0323,,0.9677,Combat-related,,High,"Decker KP, Deaver SP, Abbey V, et al. Quantitatively improved treatment outcomes for combat-associated PTSD with adjunctive art therapy: randomized controlled trial. Art Therapy. 2018;35(4):184-94. doi: 10.1080/07421656.2018.1540822.",,2020
decker2018_PCL_B_Baseline_Comp,Mixed: Psychotherapy & CIH,PTSD,38,B,PTSD,,15,,Supportive psychotherapy + CPT,Supportive psychotherapy + Cognitive Processing Therapy (CPT),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,19,Self report,PCL,PCL-M,Completer,,ANOVA with repeated measures,Baseline,,,65.1,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.0323,,0.9677,Combat-related,,High,"Decker KP, Deaver SP, Abbey V, et al. Quantitatively improved treatment outcomes for combat-associated PTSD with adjunctive art therapy: randomized controlled trial. Art Therapy. 2018;35(4):184-94. doi: 10.1080/07421656.2018.1540822.",,2020
dedert2019_CAPS_A_0_ITT,Psychotherapy,PTSD+SUD,40,A,PTSD+SUD,Integrated,11,,CPT + smoking cessation,Cognitive Processing Therapy (CPT) + smoking cessation,Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,15,Structured Clinical Interview,CAPS,CAPS-5,ITT,Imputed and maximum likelihood methods,Mixed random and fixed effect regression models.,End of Treatment,0,,34.1,13.3,,,,,-9.82,14.30,,,,Cohen's d,0.687,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.825,,0.175,,,High,"Dedert EA, Resick PA, Dennis PA, et al. Pilot trial of a combined cognitive processing therapy and smoking cessation treatment. J Addict Med. 2019 Jul/Aug;13(4):322-30. doi: 10.1097/ADM.0000000000000502. PMID: 30664539.",,2020
dedert2019_CAPS_A_26_ITT,Psychotherapy,PTSD+SUD,40,A,PTSD+SUD,Integrated,12,,CPT + smoking cessation,Cognitive Processing Therapy (CPT) + smoking cessation,Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,15,Structured Clinical Interview,CAPS,CAPS-5,ITT,Imputed and maximum likelihood methods,Mixed random and fixed effect regression models.,Assessment at 6 to <12 Months,26,,36.6,15.3,,,,,-6.3,11.9,,,,Cohen's d,0.529,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.825,,0.175,,,High,"Dedert EA, Resick PA, Dennis PA, et al. Pilot trial of a combined cognitive processing therapy and smoking cessation treatment. J Addict Med. 2019 Jul/Aug;13(4):322-30. doi: 10.1097/ADM.0000000000000502. PMID: 30664539.",,2020
dedert2019_CAPS_A_Baseline_ITT,Psychotherapy,PTSD+SUD,40,A,PTSD+SUD,Integrated,15,,CPT + smoking cessation,Cognitive Processing Therapy (CPT) + smoking cessation,Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,15,Structured Clinical Interview,CAPS,CAPS-5,ITT,Imputed and maximum likelihood methods,Mixed random and fixed effect regression models.,Baseline,,,43.9,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.825,,0.175,,,High,"Dedert EA, Resick PA, Dennis PA, et al. Pilot trial of a combined cognitive processing therapy and smoking cessation treatment. J Addict Med. 2019 Jul/Aug;13(4):322-30. doi: 10.1097/ADM.0000000000000502. PMID: 30664539.",,2020
dedert2019_CAPS_B_0_ITT,Psychotherapy,PTSD+SUD,40,B,SUD,Not integrated,17,,Present-focused smoking cessation,Smoking cessation,Yes,Non-TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,25,Structured Clinical Interview,CAPS,CAPS-5,ITT,Imputed and maximum likelihood methods,Mixed random and fixed effect regression models.,End of Treatment,0,,32.4,20.4,,,,,-3.82,13.34,,,,Cohen's d,0.687,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.825,,0.175,,,High,"Dedert EA, Resick PA, Dennis PA, et al. Pilot trial of a combined cognitive processing therapy and smoking cessation treatment. J Addict Med. 2019 Jul/Aug;13(4):322-30. doi: 10.1097/ADM.0000000000000502. PMID: 30664539.",,2020
dedert2019_CAPS_B_26_ITT,Psychotherapy,PTSD+SUD,40,B,SUD,Not integrated,19,,Present-focused smoking cessation,Smoking cessation,Yes,Non-TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,25,Structured Clinical Interview,CAPS,CAPS-5,ITT,Imputed and maximum likelihood methods,Mixed random and fixed effect regression models.,Assessment at 6 to <12 Months,26,,35.1,17.9,,,,,-1.17,13.98,,,,Cohen's d,0.084,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.825,,0.175,,,High,"Dedert EA, Resick PA, Dennis PA, et al. Pilot trial of a combined cognitive processing therapy and smoking cessation treatment. J Addict Med. 2019 Jul/Aug;13(4):322-30. doi: 10.1097/ADM.0000000000000502. PMID: 30664539.",,2020
dedert2019_CAPS_B_Baseline_ITT,Psychotherapy,PTSD+SUD,40,B,SUD,Not integrated,25,,Present-focused smoking cessation,Smoking cessation,Yes,Non-TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,25,Structured Clinical Interview,CAPS,CAPS-5,ITT,Imputed and maximum likelihood methods,Mixed random and fixed effect regression models.,Baseline,,,36.2,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.825,,0.175,,,High,"Dedert EA, Resick PA, Dennis PA, et al. Pilot trial of a combined cognitive processing therapy and smoking cessation treatment. J Addict Med. 2019 Jul/Aug;13(4):322-30. doi: 10.1097/ADM.0000000000000502. PMID: 30664539.",,2020
dedert2019_PCL_A_0_ITT,Psychotherapy,PTSD+SUD,40,A,PTSD+SUD,Integrated,,,CPT + smoking cessation,Cognitive Processing Therapy (CPT) + smoking cessation,Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,15,Self report,PCL,PCL-5,ITT,Imputed and maximum likelihood methods,Mixed random and fixed effect regression models.,End of Treatment,0,,33.0,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.825,,0.175,,,High,"Dedert EA, Resick PA, Dennis PA, et al. Pilot trial of a combined cognitive processing therapy and smoking cessation treatment. J Addict Med. 2019 Jul/Aug;13(4):322-30. doi: 10.1097/ADM.0000000000000502. PMID: 30664539.",,2020
dedert2019_PCL_A_26_ITT,Psychotherapy,PTSD+SUD,40,A,PTSD+SUD,Integrated,,,CPT + smoking cessation,Cognitive Processing Therapy (CPT) + smoking cessation,Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,15,Self report,PCL,PCL-5,ITT,Imputed and maximum likelihood methods,Mixed random and fixed effect regression models.,Assessment at 6 to <12 Months,26,,42.6,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.825,,0.175,,,High,"Dedert EA, Resick PA, Dennis PA, et al. Pilot trial of a combined cognitive processing therapy and smoking cessation treatment. J Addict Med. 2019 Jul/Aug;13(4):322-30. doi: 10.1097/ADM.0000000000000502. PMID: 30664539.",,2020
dedert2019_PCL_A_Baseline_ITT,Psychotherapy,PTSD+SUD,40,A,PTSD+SUD,Integrated,,,CPT + smoking cessation,Cognitive Processing Therapy (CPT) + smoking cessation,Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,15,Self report,PCL,PCL-5,ITT,Imputed and maximum likelihood methods,Mixed random and fixed effect regression models.,Baseline,,,55.1,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.825,,0.175,,,High,"Dedert EA, Resick PA, Dennis PA, et al. Pilot trial of a combined cognitive processing therapy and smoking cessation treatment. J Addict Med. 2019 Jul/Aug;13(4):322-30. doi: 10.1097/ADM.0000000000000502. PMID: 30664539.",,2020
dedert2019_PCL_B_0_ITT,Psychotherapy,PTSD+SUD,40,B,SUD,Not integrated,,,Present-focused smoking cessation,Smoking cessation,Yes,Non-TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,25,Self report,PCL,PCL-5,ITT,Imputed and maximum likelihood methods,Mixed random and fixed effect regression models.,End of Treatment,0,,38.5,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.825,,0.175,,,High,"Dedert EA, Resick PA, Dennis PA, et al. Pilot trial of a combined cognitive processing therapy and smoking cessation treatment. J Addict Med. 2019 Jul/Aug;13(4):322-30. doi: 10.1097/ADM.0000000000000502. PMID: 30664539.",,2020
